device,input_type,layers,nodes,batch_size,input_size,output_size,#params,duration,tflops
Tesla T4, f16, 16, 1024, 1024, 4000, 800, 20643840, 0.8250157833099365, 15.373736542486386
Tesla T4, f16, 16, 1024, 1024, 4000, 1000, 20848640, 0.8310496807098389, 15.413524261340045
Tesla T4, f16, 16, 1024, 1024, 6000, 200, 22077440, 0.8664133548736572, 15.655782611958925
Tesla T4, f16, 16, 1024, 1024, 6000, 400, 22282240, 0.8731176853179932, 15.679682689068391
Tesla T4, f16, 16, 1024, 1024, 6000, 600, 22487040, 0.8844029903411865, 15.62187998784358
Tesla T4, f16, 16, 1024, 1024, 6000, 800, 22691840, 0.887749433517456, 15.704731503752468
Tesla T4, f16, 16, 1024, 1024, 6000, 1000, 22896640, 0.8959143161773682, 15.70205471882978
Tesla T4, f16, 16, 1024, 1024, 8000, 200, 24125440, 0.9322412014007568, 15.9000377946479
Tesla T4, f16, 16, 1024, 1024, 8000, 400, 24330240, 0.9376776218414307, 15.94204565386111
Tesla T4, f16, 16, 1024, 1024, 8000, 600, 24535040, 0.9427306652069092, 15.990069202524039
Tesla T4, f16, 16, 1024, 1024, 8000, 800, 24739840, 0.9508650302886963, 15.985610167391489
Tesla T4, f16, 16, 1024, 1024, 8000, 1000, 24944640, 0.9578149318695068, 16.000989654740547
Tesla T4, f16, 16, 1024, 2048, 2000, 200, 17981440, 1.1522257328033447, 19.176445068833704
Tesla T4, f16, 16, 1024, 2048, 2000, 400, 18186240, 1.1646571159362793, 19.18783769593407
Tesla T4, f16, 16, 1024, 2048, 2000, 600, 18391040, 1.1755256652832031, 19.224514291277135
Tesla T4, f16, 16, 1024, 2048, 2000, 800, 18595840, 1.1932120323181152, 19.15046745514878
Tesla T4, f16, 16, 1024, 2048, 2000, 1000, 18800640, 1.203261375427246, 19.199674238522793
Tesla T4, f16, 16, 1024, 2048, 4000, 200, 20029440, 1.2585504055023193, 19.555971508488497
Tesla T4, f16, 16, 1024, 2048, 4000, 400, 20234240, 1.2696077823638916, 19.5838702766187
Tesla T4, f16, 16, 1024, 2048, 4000, 600, 20439040, 1.2785744667053223, 19.643355163128298
Tesla T4, f16, 16, 1024, 2048, 4000, 800, 20643840, 1.296823501586914, 19.5609892641199
