device,input_type,layers,nodes,batch_size,input_size,output_size,#params,duration,tflops
NVIDIA A100 80GB PCIe, f16, 32, 2048, 512, 2000, 600, 135348224, 1.232877492904663, 33.725146782296925
NVIDIA A100 80GB PCIe, f16, 32, 2048, 512, 2000, 800, 135757824, 1.2061760425567627, 34.576050312189295
NVIDIA A100 80GB PCIe, f16, 32, 2048, 512, 2000, 1000, 136167424, 1.215083122253418, 34.426149031864995
NVIDIA A100 80GB PCIe, f16, 32, 2048, 512, 4000, 200, 138625024, 1.2041044235229492, 35.367038390411125
NVIDIA A100 80GB PCIe, f16, 32, 2048, 512, 4000, 400, 139034624, 1.207305908203125, 35.37747658037134
NVIDIA A100 80GB PCIe, f16, 32, 2048, 512, 4000, 600, 139444224, 1.2150845527648926, 35.25455534376184
NVIDIA A100 80GB PCIe, f16, 32, 2048, 512, 4000, 800, 139853824, 1.2054188251495361, 35.64163246535518
NVIDIA A100 80GB PCIe, f16, 32, 2048, 512, 4000, 1000, 140263424, 1.2317020893096924, 34.983235172515776
NVIDIA A100 80GB PCIe, f16, 32, 2048, 512, 6000, 200, 142721024, 1.2270171642303467, 35.73209882544824
NVIDIA A100 80GB PCIe, f16, 32, 2048, 512, 6000, 400, 143130624, 0.9174294471740723, 47.92709437029573
NVIDIA A100 80GB PCIe, f16, 32, 2048, 512, 6000, 600, 143540224, 0.9275493621826172, 47.539849209791605
NVIDIA A100 80GB PCIe, f16, 32, 2048, 512, 6000, 800, 143949824, 1.3725717067718506, 32.2179057856323
NVIDIA A100 80GB PCIe, f16, 32, 2048, 512, 6000, 1000, 144359424, 1.5473051071166992, 28.660937554480192
NVIDIA A100 80GB PCIe, f16, 32, 2048, 512, 8000, 200, 146817024, 1.2046990394592285, 37.43855377609142
NVIDIA A100 80GB PCIe, f16, 32, 2048, 512, 8000, 400, 147226624, 1.5940649509429932, 28.372757876675404
NVIDIA A100 80GB PCIe, f16, 32, 2048, 512, 8000, 600, 147636224, 1.3891432285308838, 32.64879177416778
NVIDIA A100 80GB PCIe, f16, 32, 2048, 512, 8000, 800, 148045824, 0.9373385906219482, 48.52000929847886
NVIDIA A100 80GB PCIe, f16, 32, 2048, 512, 8000, 1000, 148455424, 1.035172462463379, 44.05595000496198
NVIDIA A100 80GB PCIe, f16, 32, 2048, 1024, 2000, 200, 134529024, 1.5971343517303467, 51.75183431253068
NVIDIA A100 80GB PCIe, f16, 32, 2048, 1024, 2000, 400, 134938624, 1.6840705871582031, 49.22970047562009
NVIDIA A100 80GB PCIe, f16, 32, 2048, 1024, 2000, 600, 135348224, 1.3710739612579346, 60.65168705363214
NVIDIA A100 80GB PCIe, f16, 32, 2048, 1024, 2000, 800, 135757824, 1.7038860321044922, 48.95257399497529
NVIDIA A100 80GB PCIe, f16, 32, 2048, 1024, 2000, 1000, 136167424, 1.3770840167999268, 60.75247718001431
NVIDIA A100 80GB PCIe, f16, 32, 2048, 1024, 4000, 200, 138625024, 1.3901526927947998, 61.26752491797828
NVIDIA A100 80GB PCIe, f16, 32, 2048, 1024, 4000, 400, 139034624, 1.3996737003326416, 61.030562312700944
NVIDIA A100 80GB PCIe, f16, 32, 2048, 1024, 4000, 600, 139444224, 1.6825110912322998, 50.92063385023543
NVIDIA A100 80GB PCIe, f16, 32, 2048, 1024, 4000, 800, 139853824, 1.3556296825408936, 63.384706437340775
NVIDIA A100 80GB PCIe, f16, 32, 2048, 1024, 4000, 1000, 140263424, 1.3513944149017334, 63.76957515535272
NVIDIA A100 80GB PCIe, f16, 32, 2048, 1024, 6000, 200, 142721024, 1.3474280834197998, 65.07790525120019
NVIDIA A100 80GB PCIe, f16, 32, 2048, 1024, 6000, 400, 143130624, 1.3593320846557617, 64.69313597337023
NVIDIA A100 80GB PCIe, f16, 32, 2048, 1024, 6000, 600, 143540224, 1.7039539813995361, 51.75674612595145
